date,price
01-08-62,35.12
01-09-62,35.13
01-10-62,35.14
01-11-62,35.09
01-12-62,35.08
01-01-63,35.06
01-02-63,35.08
01-03-63,35.1
01-04-63,35.1
01-05-63,35.08
01-06-63,35.08
01-07-63,35.09
01-08-63,35.1
01-09-63,35.08
01-10-63,35.08
01-11-63,35.08
01-12-63,35.08
01-01-64,35.08
01-02-64,35.08
01-03-64,35.08
01-04-64,35.08
01-05-64,35.08
01-06-64,35.08
01-07-64,35.08
01-08-64,35.08
01-09-64,35.09
01-10-64,35.11
01-11-64,35.1
01-12-64,35.12
01-01-65,35.13
01-02-65,35.14
01-03-65,35.16
01-04-65,35.14
01-05-65,35.1
01-06-65,35.1
01-07-65,35.12
01-08-65,35.15
01-09-65,35.14
01-10-65,35.11
01-11-65,35.11
01-12-65,35.13
01-01-66,35.15
01-02-66,35.17
01-03-66,35.15
01-04-66,35.13
01-05-66,35.12
01-06-66,35.15
01-07-66,35.18
01-08-66,35.18
01-09-66,35.19
01-10-66,35.16
01-11-66,35.16
01-12-66,35.18
01-01-67,35.18
01-02-67,35.17
01-03-67,35.16
01-04-67,35.17
01-05-67,35.18
01-06-67,35.19
01-07-67,35.19
01-08-67,35.19
01-09-67,35.19
01-10-67,35.19
01-11-67,35.2
01-12-67,35.19
01-01-68,35.18
01-02-68,35.2
01-03-68,35.2
01-04-68,37.878
01-05-68,40.691
01-06-68,41.111
01-07-68,39.53
01-08-68,39.17
01-09-68,40.203
01-10-68,39.21
01-11-68,39.795
01-12-68,41.113
01-01-69,42.291
01-02-69,42.616
01-03-69,43.171
01-04-69,43.295
01-05-69,43.461
01-06-69,41.442
01-07-69,41.755
01-08-69,41.128
01-09-69,40.865
01-10-69,40.476
01-11-69,37.452
01-12-69,35.189
01-01-70,34.946
01-02-70,34.994
01-03-70,35.089
01-04-70,35.623
01-05-70,35.958
01-06-70,35.437
01-07-70,35.329
01-08-70,35.377
01-09-70,36.196
01-10-70,37.553
01-11-70,37.455
01-12-70,37.434
01-01-71,37.868
01-02-71,38.716
01-03-71,38.873
01-04-71,39.001
01-05-71,40.493
01-06-71,40.105
01-07-71,40.929
01-08-71,42.722
01-09-71,41.976
01-10-71,42.473
01-11-71,42.842
01-12-71,43.455
01-01-72,45.64
01-02-72,48.237
01-03-72,48.288
01-04-72,49.026
01-05-72,54.5
01-06-72,62.17
01-07-72,65.558
